ticker,name,market_cap,sector,industry,website,employees,price,sma50,sma200,disparity_200,rsi14,rsi14_prev,rsi14_min_10,bb_upper,bb_lower,vol_ratio,tenkan,kijun,cloud_top,cloud_bot,c1_below_sma200,c4_bb_signal,c5_volume,c6a_tenkan_cross,c6b_below_cloud,c6c_cloud_breakout,c6d_inside_cloud,win_rate,win_events
347850.KQ,디앤디파마텍,1763473025.0,,,,,60700.0,74524.0,117055.625,-48.144,32.228,27.695,27.695,85249.156,57860.844,0.909,65750.0,73750.0,85250.0,75525.0,True,True,False,False,True,False,False,28.6,7
CSGP,CoStar Group,14277170167.0,,,,,33.93,37.902,62.312,-45.548,41.788,42.164,28.04,36.69,31.472,0.61,33.11,36.195,48.71,39.778,True,False,False,False,True,False,False,0.0,22
INTU,Intuit,110539800500.0,,,,,307.07,404.308,558.86,-45.054,28.608,45.397,28.608,430.657,347.715,6.071,363.177,363.177,423.33,398.25,True,False,False,False,True,False,False,0.0,11
TTD,Trade Desk (The),10269088817.0,,,,,21.28,22.732,37.198,-42.793,43.666,42.0,35.887,25.433,19.794,0.538,21.535,22.35,26.32,22.667,True,False,False,False,True,False,False,30.0,30
PODD,Insulet Corporation,10709011247.0,,,,,156.89,191.276,272.851,-42.5,38.017,37.7,28.312,188.203,136.875,0.514,152.83,175.77,234.855,210.12,True,False,False,False,True,False,False,0.0,11
035760.KQ,CJ ENM,586854337.0,Communication Services,Entertainment,https://www.cjenm.com,,40350.0,54249.0,64931.25,-37.857,16.211,17.36,16.211,60120.325,38354.675,1.29,45275.0,48375.0,66000.0,57575.0,True,False,False,False,True,False,False,,1
TSCO,Tractor Supply,23570342930.0,,,,,31.67,39.949,50.916,-37.8,32.333,32.402,14.598,36.544,28.414,0.668,30.69,37.42,49.585,45.917,True,False,False,False,True,False,False,0.0,3
ZTS,Zoetis,51605870416.0,,,,,80.07,108.396,126.733,-36.82,26.226,25.447,11.939,131.07,58.431,0.96,77.25,97.85,122.358,118.012,True,False,False,False,True,False,False,31.2,16
EPAM,EPAM Systems,5251089770.0,,,,,103.19,121.304,161.468,-36.093,41.146,42.426,13.263,121.867,87.45,0.918,98.01,112.125,168.03,132.557,True,False,False,False,True,False,False,22.2,18
122870.KQ,와이지엔터테인먼트,583254645.0,Communication Services,Entertainment,https://www.ygfamily.com,,47050.0,53792.0,73553.5,-36.033,32.529,31.514,30.938,56633.033,45856.967,0.866,48725.0,51425.0,64150.0,55500.0,True,False,False,False,True,False,False,0.0,5
253450.KQ,스튜디오드래곤,539261539.0,,,,,27050.0,34991.0,41773.0,-35.245,23.732,25.45,20.351,38043.274,26676.726,1.346,29675.0,31825.0,41750.0,36250.0,True,False,False,False,True,False,False,33.3,6
WDAY,"Workday, Inc.",26867400000.0,,,,,121.85,125.796,188.132,-35.232,46.686,51.677,41.214,132.313,115.252,1.813,124.24,124.24,144.085,125.265,True,False,True,False,True,False,False,18.5,27
